Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
RIC,Renault,8,9,MEDIUM,SOFT
PER,Racing Point,17,18,SOFT,MEDIUM
GIO,Alfa Romeo Racing,20,21,SOFT,MEDIUM
HAM,Mercedes,20,21,SOFT,SOFT
KUB,Williams,20,21,MEDIUM,MEDIUM
RAI,Alfa Romeo Racing,21,22,SOFT,MEDIUM
VER,Red Bull Racing,21,22,SOFT,SOFT
GAS,Toro Rosso,22,23,SOFT,MEDIUM
KVY,Toro Rosso,23,24,MEDIUM,SOFT
RUS,Williams,23,24,MEDIUM,MEDIUM
ALB,Red Bull Racing,24,25,SOFT,MEDIUM
VET,Ferrari,25,26,SOFT,MEDIUM
BOT,Mercedes,26,27,SOFT,HARD
GRO,Haas F1 Team,26,27,SOFT,MEDIUM
HUL,Renault,27,28,MEDIUM,HARD
MAG,Haas F1 Team,27,28,SOFT,MEDIUM
NOR,McLaren,27,28,SOFT,HARD
STR,Racing Point,28,29,SOFT,MEDIUM
LEC,Ferrari,29,30,MEDIUM,HARD
SAI,McLaren,29,30,SOFT,MEDIUM
KUB,Williams,36,37,MEDIUM,HARD
RIC,Renault,40,41,SOFT,SOFT
BOT,Mercedes,41,42,HARD,MEDIUM
HAM,Mercedes,43,44,SOFT,MEDIUM
HUL,Renault,44,45,HARD,SOFT
VER,Red Bull Racing,44,45,SOFT,MEDIUM
PER,Racing Point,45,46,MEDIUM,SOFT
GIO,Alfa Romeo Racing,46,47,MEDIUM,SOFT
KVY,Toro Rosso,46,47,SOFT,SOFT
GAS,Toro Rosso,47,48,MEDIUM,SOFT
RAI,Alfa Romeo Racing,47,48,MEDIUM,SOFT
VET,Ferrari,49,50,MEDIUM,SOFT
ALB,Red Bull Racing,50,51,MEDIUM,SOFT
HUL,Renault,53,54,SOFT,SOFT
KUB,Williams,53,54,HARD,SOFT
MAG,Haas F1 Team,53,54,MEDIUM,SOFT
NOR,McLaren,53,54,HARD,MEDIUM
STR,Racing Point,53,54,MEDIUM,SOFT
LEC,Ferrari,54,55,HARD,SOFT
RUS,Williams,54,55,MEDIUM,SOFT
VER,Red Bull Racing,54,55,MEDIUM,SOFT
GRO,Haas F1 Team,65,66,MEDIUM,SOFT
HAM,Mercedes,66,67,MEDIUM,SOFT
KUB,Williams,66,67,SOFT,SOFT
RUS,Williams,66,67,SOFT,SOFT
