Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALO,Aston Martin,1,4.0,SOFT,SOFT
BOT,Kick Sauber,1,3.0,SOFT,SOFT
GAS,Alpine,1,3.0,SOFT,HARD
HAM,Mercedes,1,4.0,MEDIUM,HARD
HUL,Haas F1 Team,1,4.0,SOFT,SOFT
LEC,Ferrari,1,4.0,MEDIUM,MEDIUM
MAG,Haas F1 Team,1,3.0,MEDIUM,MEDIUM
NOR,McLaren,1,4.0,MEDIUM,MEDIUM
OCO,Alpine,1,3.0,SOFT,HARD
PER,Red Bull Racing,1,4.0,MEDIUM,MEDIUM
PIA,McLaren,1,4.0,MEDIUM,MEDIUM
RUS,Mercedes,1,4.0,MEDIUM,HARD
SAI,Ferrari,1,4.0,MEDIUM,MEDIUM
SAR,Williams,1,3.0,SOFT,HARD
STR,Aston Martin,1,3.0,SOFT,SOFT
TSU,RB,1,4.0,MEDIUM,SOFT
VER,Red Bull Racing,1,4.0,MEDIUM,MEDIUM
ZHO,Kick Sauber,1,3.0,MEDIUM,SOFT
HUL,Haas F1 Team,5,6.0,SOFT,HARD
BOT,Kick Sauber,6,7.0,SOFT,HARD
TSU,RB,7,8.0,SOFT,HARD
ZHO,Kick Sauber,7,8.0,SOFT,HARD
NOR,McLaren,11,12.0,MEDIUM,HARD
ZHO,Kick Sauber,11,12.0,HARD,HARD
PIA,McLaren,12,13.0,MEDIUM,HARD
STR,Aston Martin,12,13.0,SOFT,MEDIUM
ZHO,Kick Sauber,12,,HARD,
ALO,Aston Martin,13,14.0,SOFT,MEDIUM
PER,Red Bull Racing,15,16.0,MEDIUM,MEDIUM
SAI,Ferrari,15,16.0,MEDIUM,MEDIUM
GAS,Alpine,16,17.0,HARD,MEDIUM
VER,Red Bull Racing,16,17.0,MEDIUM,MEDIUM
OCO,Alpine,19,20.0,HARD,HARD
BOT,Kick Sauber,22,23.0,HARD,HARD
MAG,Haas F1 Team,22,23.0,MEDIUM,HARD
RUS,Mercedes,22,23.0,HARD,HARD
SAR,Williams,22,23.0,HARD,HARD
STR,Aston Martin,22,23.0,MEDIUM,HARD
TSU,RB,22,23.0,HARD,HARD
HAM,Mercedes,23,24.0,HARD,HARD
LEC,Ferrari,26,27.0,MEDIUM,HARD
NOR,McLaren,26,27.0,HARD,HARD
GAS,Alpine,32,33.0,MEDIUM,HARD
PIA,McLaren,32,33.0,HARD,HARD
ALO,Aston Martin,33,34.0,MEDIUM,HARD
HUL,Haas F1 Team,33,34.0,HARD,HARD
OCO,Alpine,33,34.0,HARD,MEDIUM
PER,Red Bull Racing,33,34.0,MEDIUM,HARD
SAR,Williams,34,35.0,HARD,MEDIUM
STR,Aston Martin,34,35.0,HARD,SOFT
VER,Red Bull Racing,34,35.0,MEDIUM,HARD
SAI,Ferrari,36,37.0,MEDIUM,HARD
RUS,Mercedes,37,38.0,HARD,MEDIUM
HAM,Mercedes,39,40.0,HARD,MEDIUM
SAR,Williams,41,42.0,MEDIUM,SOFT
