Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
HUL,Kick Sauber,7,8,SOFT,HARD
ALB,Williams,8,9,SOFT,HARD
HAM,Ferrari,8,9,SOFT,HARD
GAS,Alpine,13,14,MEDIUM,HARD
BEA,Haas F1 Team,14,15,MEDIUM,HARD
HAD,Racing Bulls,14,15,MEDIUM,HARD
RUS,Mercedes,14,15,MEDIUM,HARD
BOR,Kick Sauber,15,16,MEDIUM,HARD
COL,Alpine,15,16,MEDIUM,HARD
ALO,Aston Martin,16,17,MEDIUM,HARD
LEC,Ferrari,16,17,MEDIUM,HARD
NOR,McLaren,16,17,MEDIUM,HARD
SAI,Williams,18,19,MEDIUM,HARD
OCO,Haas F1 Team,19,20,MEDIUM,HARD
LAW,Racing Bulls,21,22,MEDIUM,HARD
VER,Red Bull Racing,23,24,MEDIUM,HARD
HAM,Ferrari,31,32,HARD,MEDIUM
ANT,Mercedes,32,33,HARD,MEDIUM
TSU,Red Bull Racing,32,33,HARD,MEDIUM
ALB,Williams,33,34,HARD,MEDIUM
LEC,Ferrari,39,40,HARD,MEDIUM
COL,Alpine,40,41,HARD,MEDIUM
GAS,Alpine,40,41,HARD,MEDIUM
NOR,McLaren,40,41,HARD,HARD
PIA,McLaren,41,42,HARD,MEDIUM
HUL,Kick Sauber,42,43,HARD,MEDIUM
STR,Aston Martin,42,43,HARD,MEDIUM
